rn,seqtab.match,rd_post_merge,rd_no_off,study,kelp_species,extraction_kit,wild_or_farmed,kelp_age_days,kelp_lifestage,id,sample_target,location,region,date_sampled,year_sampled,month_sampled,day_sampled,spore_release_date,library,treatment,diseased_tank,pink_health,remove_duplicate,area_swabbed,dual_swab,keep_dual_swab,with_kelp,sample_type,notes,tank_id,cycle_number,extra_DMSO_2percent_VbyV
water_saccharina_202315_421_S56-_-4,water_saccharina_202315_421_S56-_-4,5950,5950,cascadia,seawater,zymo,farmed,23,Nursery,,seawater,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,pre-media change,low_growth_2,,
water_saccharina_202315_422_S209-_-4,water_saccharina_202315_422_S209-_-4,3610,3599,cascadia,seawater,zymo,farmed,23,Nursery,,seawater,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,pre-media change,high_growth_1,35,no
water_saccharina_202315_440_S211-_-4,water_saccharina_202315_440_S211-_-4,24554,23430,cascadia,seawater,zymo,farmed,23,Nursery,,seawater,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,post-media change,low_growth_1,,
water_saccharina_202315_443_S10-_-4,water_saccharina_202315_443_S10-_-4,21088,18187,cascadia,seawater,zymo,farmed,23,Nursery,,seawater,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,post-media change,high_growth_2,,
water_saccharina_202315_441_S209-_-4,water_saccharina_202315_441_S209-_-4,41272,39888,cascadia,seawater,zymo,farmed,23,Nursery,,seawater,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,post-media change,low_growth_2,35,yes
water_423_bacterial_manipulation_4_S347-_-5,water_423_bacterial_manipulation_4_S347-_-5,12368,12365,cascadia,seawater,zymo,farmed,23,Nursery,,seawater,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,tree,control,no,,n,,,,yes,,,,,
water_442_bacterial_manipulation_4_S254-_-5,water_442_bacterial_manipulation_4_S254-_-5,9142,9096,cascadia,seawater,zymo,farmed,23,Nursery,,seawater,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,tree,control,no,,n,,,,yes,,,,,
water_saccharina_2023124_544_S220-_-4,water_saccharina_2023124_544_S220-_-4,35526,34496,cascadia,seawater,zymo,farmed,42,Nursery,,seawater,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,litorimonas,no,,n,,,,yes,,,up,35,yes
water_saccharina_2023124_545_S376-_-4,water_saccharina_2023124_545_S376-_-4,50099,49798,cascadia,seawater,zymo,farmed,42,Nursery,,seawater,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,litorimonas,no,,n,,,,yes,,,down,35,no
water_saccharina_2023124_540_S291-_-4,water_saccharina_2023124_540_S291-_-4,11201,11102,cascadia,seawater,zymo,farmed,42,Nursery,,seawater,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,maribacter,no,,n,,,,yes,,,up,,
water_saccharina_2023124_541_S226-_-4,water_saccharina_2023124_541_S226-_-4,96905,93393,cascadia,seawater,zymo,farmed,42,Nursery,,seawater,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,maribacter,no,,n,,,,yes,,,down,35,yes
water_saccharina_2023124_543_S204-_-4,water_saccharina_2023124_543_S204-_-4,49543,49203,cascadia,seawater,zymo,farmed,42,Nursery,,seawater,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,,down,35,yes
water_604_bacterial_manipulation_2_S127-_-5,water_604_bacterial_manipulation_2_S127-_-5,8877,8856,cascadia,seawater,zymo,farmed,68,Nursery,,seawater,Farm 6,BC,2023-02-19,2023,2,19,2022-12-13,tree,maribacter,no,,n,,,,yes,,,,,
water_saccharina_2023124_536_S253-_-4,water_saccharina_2023124_536_S253-_-4,62603,61301,cascadia,seawater,zymo,farmed,42,Nursery,,seawater,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,control,no,,n,,,,yes,,,control_A,35,yes
water_saccharina_2023124_538_S331-_-4,water_saccharina_2023124_538_S331-_-4,10976,10971,cascadia,seawater,zymo,farmed,42,Nursery,,seawater,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,control,no,,n,,,,yes,,,control_B,,
spool_saccharina_20221214_396_S248-_-3,spool_saccharina_20221214_396_S248-_-3,12245,10135,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,galliano,maribacter,no,,n,,129,y,yes,,,up,,
spool_saccharina_20221214_400_S10-_-3,spool_saccharina_20221214_400_S10-_-3,3294,2172,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,galliano,sulfitobacter2,no,,n,,129,n,yes,,,up,,
spool_saccharina_20221214_403_S61-_-4,spool_saccharina_20221214_403_S61-_-4,11092,9123,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,litorimonas,no,,n,,,,yes,,,up,30,no
spool_saccharina_20221214_404_S21-_-4,spool_saccharina_20221214_404_S21-_-4,6269,6050,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,litorimonas,no,,n,,,,yes,,,up,35,no
spool_saccharina_20221214_405_S183-_-4,spool_saccharina_20221214_405_S183-_-4,14156,12492,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,litorimonas,no,,n,,,,yes,,,down,35,no
spool_saccharina_20221214_406_S34-_-4,spool_saccharina_20221214_406_S34-_-4,8657,7711,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,litorimonas,no,,n,,,,yes,,,down,,
spool_saccharina_20221214_395_S46-_-4,spool_saccharina_20221214_395_S46-_-4,3103,1573,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,maribacter,no,,n,,,,yes,,,up,35,no
spool_saccharina_20221214_397_S20-_-4,spool_saccharina_20221214_397_S20-_-4,4316,3910,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,maribacter,no,,n,,,,yes,,,down,35,no
spool_saccharina_20221214_398_S107-_-4,spool_saccharina_20221214_398_S107-_-4,33889,33668,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,maribacter,no,,n,,,,yes,,,down,,
spool_saccharina_20221214_396_S248-_-4,spool_saccharina_20221214_396_S248-_-4,12245,10135,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,,maribacter,no,,n,,,,yes,,,,,
spool_saccharina_20221214_401_S7-_-3,spool_saccharina_20221214_401_S7-_-3,38006,37200,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,galliano,sulfitobacter2,no,,n,,,,yes,,,down,,
spool_saccharina_20221214_399_S166-_-4,spool_saccharina_20221214_399_S166-_-4,17207,15909,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,,up,,
spool_saccharina_20221214_402_S127-_-4,spool_saccharina_20221214_402_S127-_-4,14436,11298,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,,down,,
spool_401_bacterial_manipulation_3_S190-_-5,spool_401_bacterial_manipulation_3_S190-_-5,26380,26256,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,tree,sulfitobacter2,no,,n,,,,yes,,,,,
spool_saccharina_20221214_400_S10-_-4,spool_saccharina_20221214_400_S10-_-4,3294,2172,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,,sulfitobacter2,no,,n,,,,yes,,,,,
spool_saccharina_20221214_401_S7-_-4,spool_saccharina_20221214_401_S7-_-4,38006,37200,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,,sulfitobacter2,no,,n,,,,yes,,,,,
sterile_sori_saccharina_20221213_349_S36-_-4,sterile_sori_saccharina_20221213_349_S36-_-4,2738,1943,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,13,2022-12-13,original,control,no,,n,,,,yes,,,,,
spool_saccharina_20221214_391_S12-_-4,spool_saccharina_20221214_391_S12-_-4,3059,2717,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,control,no,,n,,,,yes,,,,35,no
spool_saccharina_20221214_392_S4-_-4,spool_saccharina_20221214_392_S4-_-4,10629,9549,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,control,no,,n,,,,yes,,,,,
spool_saccharina_20221214_394_S115-_-4,spool_saccharina_20221214_394_S115-_-4,6578,5729,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,control,no,,n,,,,yes,,,,,
spool_409_bacterial_manipulation_1_S157-_-5,spool_409_bacterial_manipulation_1_S157-_-5,5221,5159,cascadia,Saccharina latissima,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,tree,control,no,,n,,,,yes,,,,,
spool_macro_20221214_408_S67-_-4,spool_macro_20221214_408_S67-_-4,5281,5011,cascadia,Macrocystis tenuifolia,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,control,no,,n,,,,yes,,,,,
spool_macro_20221214_410_S22-_-4,spool_macro_20221214_410_S22-_-4,4566,3337,cascadia,Macrocystis tenuifolia,zymo,farmed,1,Nursery,,spool,Farm 6,BC,2022-12-14,2022,12,14,2022-12-13,original,control,no,,n,,,,yes,,,,35,no
spool_during_transfer_370_nursery_monitoring_3_S252-_-5,spool_during_transfer_370_nursery_monitoring_3_S252-_-5,1636,1627,cascadia,Saccharina latissima,zymo,farmed,2,Nursery,,spool,Farm 6,BC,2022-12-15,2022,12,13,2022-12-13,,control,no,,n,,,,no,,,,,
spool_during_transfer_368b_NA_3_S191-_-5,spool_during_transfer_368b_NA_3_S191-_-5,4117,4117,cascadia,Saccharina latissima,zymo,farmed,2,Nursery,,spool,Farm 6,BC,2022-12-15,2022,12,13,2022-12-13,tree,control,no,,n,,,,yes,,spool during transfer,,,
spool_saccharina_202315_476_S106-_-4,spool_saccharina_202315_476_S106-_-4,37854,36794,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,litorimonas,no,,n,,,,yes,,pre-media change,up,35,no
spool_saccharina_202315_477_S94-_-4,spool_saccharina_202315_477_S94-_-4,6722,6541,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,litorimonas,no,,n,,,,yes,,pre-media change,up,,
spool_saccharina_202315_479_S1-_-4,spool_saccharina_202315_479_S1-_-4,33263,29541,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,litorimonas,no,,n,,,,yes,,pre-media change,down,,
spool_saccharina_NANANA_590B_S240-_-4,spool_saccharina_NANANA_590B_S240-_-4,2177,1986,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,litorimonas,no,,n,,,,yes,,,,,
spool_saccharina_202315_468_S140-_-4,spool_saccharina_202315_468_S140-_-4,25661,21485,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,maribacter,no,,n,,,,yes,,pre-media change,up,35,no
spool_saccharina_202315_469_S70-_-4,spool_saccharina_202315_469_S70-_-4,23125,20494,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,maribacter,no,,n,,,,yes,,pre-media change,up,,
spool_saccharina_202315_470_S92-_-4,spool_saccharina_202315_470_S92-_-4,8129,8072,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,maribacter,no,,n,,,,yes,,pre-media change,down,35,no
spool_saccharina_202315_471_S157-_-4,spool_saccharina_202315_471_S157-_-4,3161,3158,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,maribacter,no,,n,,,,yes,,pre-media change,down,25,no
spool_saccharina_202315_472_S124-_-4,spool_saccharina_202315_472_S124-_-4,22049,20385,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,pre-media change,up,35,no
spool_saccharina_202315_473_S120-_-4,spool_saccharina_202315_473_S120-_-4,45668,44657,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,pre-media change,up,35,no
spool_saccharina_202315_474a_S45-_-4,spool_saccharina_202315_474a_S45-_-4,5190,4910,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,pre-media change,down,,
spool_saccharina_202315_475_S152-_-4,spool_saccharina_202315_475_S152-_-4,1393,1143,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,pre-media change,down,35,yes
spool_saccharina_NANANA_474b_S81-_-4,spool_saccharina_NANANA_474b_S81-_-4,19804,19603,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,,,,
spool_saccharina_202315_461_S278-_-4,spool_saccharina_202315_461_S278-_-4,25959,17666,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,,control,no,,n,,,,yes,,,,,
spool_saccharina_202315_461_S278-_-3,spool_saccharina_202315_461_S278-_-3,25959,17666,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,galliano,control,no,,n,,,,yes,,pre-media change,low_growth_1,35,yes
spool_macro_202315_484_S374-_-4,spool_macro_202315_484_S374-_-4,27894,26642,cascadia,Macrocystis tenuifolia,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,post-media change,1,35,no
spool_macro_202315_485_S339-_-4,spool_macro_202315_485_S339-_-4,140869,137611,cascadia,Macrocystis tenuifolia,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,post-media change,1,35,no
spool_macro_202315_486_S49-_-4,spool_macro_202315_486_S49-_-4,39966,27248,cascadia,Macrocystis tenuifolia,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,post-media change,2,35,no
spool_macro_202315_487_S38-_-4,spool_macro_202315_487_S38-_-4,15156,11830,cascadia,Macrocystis tenuifolia,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,post-media change,2,,
spool_saccharina_202315_460_S74-_-4,spool_saccharina_202315_460_S74-_-4,6693,4990,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,pre-media change,low_growth_1,35,no
spool_saccharina_202315_462_S230-_-4,spool_saccharina_202315_462_S230-_-4,34835,32457,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,pre-media change,low_growth_2,,
spool_saccharina_202315_463_S137-_-4,spool_saccharina_202315_463_S137-_-4,16954,16157,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,pre-media change,low_growth_2,35,no
spool_saccharina_202315_465_S71-_-4,spool_saccharina_202315_465_S71-_-4,13791,13629,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,pre-media change,high_growth_1,35,no
spool_saccharina_202315_466_S55-_-4,spool_saccharina_202315_466_S55-_-4,11145,10302,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,pre-media change,high_growth_2,,
spool_saccharina_202315_467_S324-_-4,spool_saccharina_202315_467_S324-_-4,41745,40408,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,pre-media change,high_growth_2,,
spool_saccharina_NANANA_464_S146-_-4,spool_saccharina_NANANA_464_S146-_-4,1814,1800,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,original,control,no,,n,,,,yes,,,,35,yes
spool_461_bacterial_manipulation_3_S160-_-5,spool_461_bacterial_manipulation_3_S160-_-5,7702,6395,cascadia,Saccharina latissima,zymo,farmed,23,Nursery,,spool,Farm 6,BC,2023-01-05,2023,1,5,2022-12-13,tree,control,no,,n,,,,yes,,,,,
spool_saccharina_2023119_524_S349-_-4,spool_saccharina_2023119_524_S349-_-4,29667,28438,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,litorimonas,no,,n,,,,yes,,,up,35,no
spool_saccharina_2023119_525_S334-_-4,spool_saccharina_2023119_525_S334-_-4,6215,5885,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,litorimonas,no,,n,,,,yes,,,up,,
spool_saccharina_2023119_526_S244-_-4,spool_saccharina_2023119_526_S244-_-4,36316,35668,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,litorimonas,no,,n,,,,yes,,,down,,
spool_saccharina_2023119_527_S346-_-4,spool_saccharina_2023119_527_S346-_-4,5799,5702,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,litorimonas,no,,n,,,,yes,,,down,35,no
spool_saccharina_2023119_517_S260-_-3,spool_saccharina_2023119_517_S260-_-3,28278,25357,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,,maribacter,no,,n,,,,yes,,,,,
spool_saccharina_2023119_516_S76-_-4,spool_saccharina_2023119_516_S76-_-4,11108,10372,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,maribacter,no,,n,,,,yes,,,up,35,no
spool_saccharina_2023119_518_S195-_-4,spool_saccharina_2023119_518_S195-_-4,2800,2800,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,maribacter,no,,n,,,,yes,,,down,,
spool_saccharina_2023119_519_S134-_-4,spool_saccharina_2023119_519_S134-_-4,13430,13417,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,maribacter,no,,n,,,,yes,,,down,35,no
spool_saccharina_2023119_517_S260-_-4,spool_saccharina_2023119_517_S260-_-4,28278,25357,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,maribacter,no,,n,,,,yes,,,up,,
spool_515_bacterial_manipulation_4_S70-_-5,spool_515_bacterial_manipulation_4_S70-_-5,6924,6758,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,tree,maribacter,no,,n,,,,yes,,,,,
spool_517_bacterial_manipulation_3_S5-_-5,spool_517_bacterial_manipulation_3_S5-_-5,14917,14229,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,tree,maribacter,no,,n,,,,yes,,,,,
spool_saccharina_2023119_520_S191-_-4,spool_saccharina_2023119_520_S191-_-4,2439,2256,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,,up,,
spool_saccharina_2023119_521_S7-_-4,spool_saccharina_2023119_521_S7-_-4,26873,25453,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,,up,,
spool_saccharina_2023119_522_S125-_-4,spool_saccharina_2023119_522_S125-_-4,1840,1634,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,,down,,
spool_saccharina_2023119_523_S343-_-4,spool_saccharina_2023119_523_S343-_-4,44315,31521,cascadia,Saccharina latissima,zymo,farmed,37,Nursery,,spool,Farm 6,BC,2023-01-19,2023,1,19,2022-12-13,original,sulfitobacter2,no,,n,,,,yes,,,down,35,no
spool_saccharina_2023124_573_S234-_-4,spool_saccharina_2023124_573_S234-_-4,35064,31731,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,,litorimonas,no,,n,,,,yes,,,,,
spool_saccharina_2023124_573_S234-_-3,spool_saccharina_2023124_573_S234-_-3,35064,31731,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,galliano,litorimonas,no,,n,,,,yes,,,up,,
spool_saccharina_2023124_572_S359-_-4,spool_saccharina_2023124_572_S359-_-4,1237,1221,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,litorimonas,no,,n,,,,yes,,,up,,
spool_saccharina_2023124_574_S139-_-4,spool_saccharina_2023124_574_S139-_-4,3088,3023,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,litorimonas,no,,n,,,,yes,,,down,,
spool_saccharina_2023124_575_S351-_-4,spool_saccharina_2023124_575_S351-_-4,8010,7532,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,litorimonas,no,,n,,,,yes,,,down,,
spool_573_bacterial_manipulation_4_S193-_-5,spool_573_bacterial_manipulation_4_S193-_-5,20711,20469,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,tree,litorimonas,no,,n,,,,yes,,,,,
spool_saccharina_2023124_564_S224-_-3,spool_saccharina_2023124_564_S224-_-3,69415,36263,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,,maribacter,no,,n,,,,yes,,,,,
spool_saccharina_2023124_565_S236-_-4,spool_saccharina_2023124_565_S236-_-4,59869,42194,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,,maribacter,no,,n,,,,yes,,,,,
spool_saccharina_2023124_565_S236-_-3,spool_saccharina_2023124_565_S236-_-3,59869,42194,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,galliano,maribacter,no,,n,,,,yes,,,up,,
spool_saccharina_2023124_566_S181-_-4,spool_saccharina_2023124_566_S181-_-4,9964,9590,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,maribacter,no,,n,,,,yes,,,down,35,yes
spool_saccharina_2023124_567_S122-_-4,spool_saccharina_2023124_567_S122-_-4,17939,17675,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,maribacter,no,,n,,,,yes,,,down,,
spool_saccharina_2023124_564_S224-_-4,spool_saccharina_2023124_564_S224-_-4,69415,36263,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,original,maribacter,no,,n,,,,yes,,,up,,
spool_564_bacterial_manipulation_2_S158-_-5,spool_564_bacterial_manipulation_2_S158-_-5,6963,6943,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,tree,maribacter,no,,n,,,,yes,,,,,
spool_565_bacterial_manipulation_2_S66-_-5,spool_565_bacterial_manipulation_2_S66-_-5,13447,13435,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,tree,maribacter,no,,n,,,,yes,,,,,
spool_saccharina_2023124_568_S6-_-4,spool_saccharina_2023124_568_S6-_-4,20681,17565,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,,sulfitobacter2,no,,n,,,,yes,,,,,
spool_saccharina_2023124_570_S9-_-4,spool_saccharina_2023124_570_S9-_-4,20741,19630,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,,sulfitobacter2,no,,n,,,,yes,,,,,
spool_saccharina_2023124_571_S5-_-4,spool_saccharina_2023124_571_S5-_-4,44976,44527,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,,sulfitobacter2,no,,n,,,,yes,,,,,
spool_saccharina_2023124_568_S6-_-3,spool_saccharina_2023124_568_S6-_-3,20681,17565,cascadia,Saccharina latissima,zymo,farmed,42,Nursery,,spool,Farm 6,BC,2023-01-24,2023,1,24,2022-12-13,galliano,sulfitobacter2,no,,n,,,,yes,,,up,,
